Symbol,CompanyName,Sector,Industry
CENN,Cenntro Electric Group Ltd,Consumer Discretionary,Automobiles
CEXE,Circle Entertainment Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CFCI,CIPHER CORE INC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CFRHF,CIE FINANCIERE RICHEMONT AG,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CFRUY,CIE FINANCIERE RICHEMONT AG,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CGAC,Code Green Apparel Corp,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CHDN,"Churchill Downs, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
CHGG,Chegg Inc,Consumer Discretionary,Diversified Consumer Services
CHH,Choice Hotels International Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CHNUF,CHINA EDUCATION RESOURCES,Consumer Discretionary,Diversified Consumer Services
CHS,"Chico's FAS, Inc.",Consumer Discretionary,Specialty Retail
CHUY,Chuy's Holdings Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CHWY,Chewy Inc,Consumer Discretionary,Specialty Retail
CJET,Chijet Motor Co Inc,Consumer Discretionary,Automobiles
CLAR,Clarus Corp,Consumer Discretionary,Leisure Products
CLEU,China Liberal Education Holdings Ltd,Consumer Discretionary,Diversified Consumer Services
CLKXF,TWC ENTERPRISES LTD,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CLWY,"Calloway's Nursery, Inc.",Consumer Discretionary,Specialty Retail
CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
CMHZ,Banny Cosmic International Holdings Inc,Consumer Discretionary,Distributors
CMPGY,COMPASS GROUP PLC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CNGO,Cengage Learning Holdings II Inc,Consumer Discretionary,Diversified Consumer Services
CNLFF,CANLAN ICE SPORTS CORP,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CNTY,"Century Casinos, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
CNVAF,CNOVA NV,Consumer Discretionary,Broadline Retail
CNVT,CVF Technologies Corporation,Consumer Discretionary,Automobiles
CNXA,Connexa Sports Technologies Inc,Consumer Discretionary,Leisure Products
COE,51Talk Online Education Group-ADR,Consumer Discretionary,Diversified Consumer Services
COFE,Coffee Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
COGNY,COGNA EDUCACAO S A,Consumer Discretionary,Diversified Consumer Services
COLM,Columbia Sportswear Company,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CONN,Conn's Inc,Consumer Discretionary,Specialty Retail
COOK,Traeger Inc,Consumer Discretionary,Household Durables
CORG,Cordia Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
COSG,Coinllectibles Inc,Consumer Discretionary,Specialty Retail
COUR,Coursera Inc,Consumer Discretionary,Diversified Consumer Services
CPHC,Canterbury Park Holding Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CPNG,Coupang Inc,Consumer Discretionary,Broadline Retail
CPRI,Capri Holdings Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CPS,Cooper-Standard Holdings Inc,Consumer Discretionary,Automobile Components
CRCT,Cricut Inc,Consumer Discretionary,Household Durables
CRFU,CAREFREE GROUP INC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CRI,"Carter's, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CRMT,"America's Car-Mart, Inc.",Consumer Discretionary,Specialty Retail
CROX,"Crocs, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CRWS,"Crown Crafts, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CSBI,CARROLL SHELBY INTL INC,Consumer Discretionary,Automobiles
CSHEF,China Enterprises Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CSV,"Carriage Services, Inc.",Consumer Discretionary,Diversified Consumer Services
CTHR,"Charles & Colvard, Ltd.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CTIB,Yunhong CTI Ltd,Consumer Discretionary,Household Durables
CTNT,Cheetah Net Supply Chain Service Inc,Consumer Discretionary,Distributors
CTRN,"Citi Trends, Inc.",Consumer Discretionary,Specialty Retail
CTTAF,CONTINENTAL AG,Consumer Discretionary,Automobile Components
CTTAY,Continental AG (ADR),Consumer Discretionary,Automobile Components
CUK,Carnival plc (ADR),Consumer Discretionary,"Hotels, Restaurants & Leisure"
CUKPF,CARNIVAL CORPORATION & PLC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
CULP,"Culp, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
CURV,Torrid Holdings Inc,Consumer Discretionary,Specialty Retail
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,Household Durables
CVNA,Carvana Co,Consumer Discretionary,Specialty Retail
CWH,Camping World Holdings Inc,Consumer Discretionary,Specialty Retail
CYRBY,CYRELA BRAZIL REALTY SA,Consumer Discretionary,Household Durables
CZOO,Cazoo Group Ltd,Consumer Discretionary,Specialty Retail
CZR,Caesars Entertainment Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DAAT,DAC Technologies Group International Inc,Consumer Discretionary,Leisure Products
DAN,Dana Inc,Consumer Discretionary,Automobile Components
DAO,Youdao Inc - ADR,Consumer Discretionary,Diversified Consumer Services
DASH,DoorDash Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DBI,Designer Brands Inc,Consumer Discretionary,Specialty Retail
DBOXF,D-BOX TECHNOLOGIES INC,Consumer Discretionary,Household Durables
DDS,Dillard's Inc,Consumer Discretionary,Broadline Retail
DECK,Deckers Outdoor Corp,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
DEER,"Deer Consumer Products, Inc.",Consumer Discretionary,Household Durables
DELHY,DELIVERY HERO AG,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DELTF,DELTA GALIL INDUSTRIES LTD,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
DENN,Denny's Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DESP,Despegar.com Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DFH,Dream Finders Homes Inc,Consumer Discretionary,Household Durables
DHI,DR Horton Inc,Consumer Discretionary,Household Durables
DIBS,1Stdibs.Com Inc,Consumer Discretionary,Broadline Retail
DIIBF,Dorel Industries Inc,Consumer Discretionary,Household Durables
DIN,Dine Brands Global Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DIT,AMCON Distributing Co,Consumer Discretionary,Distributors
DKGH,DKG Capital Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DKGR,UNIVERSAL APPAREL & TEXTILE,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
DKNG,DraftKings Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DKS,DICK'S Sporting Goods Inc,Consumer Discretionary,Specialty Retail
DLA,"Delta Apparel, Inc.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
DLII,DIXIE LEE INTL INDUSTRIES,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DLMAF,DOLLARAMA INC,Consumer Discretionary,Broadline Retail
DLTH,Duluth Holdings Inc,Consumer Discretionary,Specialty Retail
DLVHF,DELIVERY HERO AG,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DNFGY,DONGFENG MOTOR GROUP CO,Consumer Discretionary,Automobiles
DNUT,Krispy Kreme Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DNZOY,DENSO CORP,Consumer Discretionary,Automobile Components
DOGZ,Dogness International Corp,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
DOOO,BRP INC,Consumer Discretionary,Leisure Products
DORM,Dorman Products Inc,Consumer Discretionary,Automobile Components
DPUKY,DOMINO'S PIZZA GROUP PLC,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DPZ,Domino's Pizza Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DQJCY,PAN PACIFIC INTL HLDGS CORP,Consumer Discretionary,Broadline Retail
DRFS,Dr Foods Inc,Consumer Discretionary,Household Durables
DRI,"Darden Restaurants, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
DSHK,Drive Shack Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DTC,Solo Brands Inc,Consumer Discretionary,Leisure Products
DTEAF,DAVIDSTEA INC,Consumer Discretionary,Specialty Retail
DTLIF,D2L INC,Consumer Discretionary,Diversified Consumer Services
DUFRY,DUFRY AG,Consumer Discretionary,Specialty Retail
DUOL,Duolingo Inc,Consumer Discretionary,Diversified Consumer Services
DWIS,Dinewise Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
DXLG,Destination XL Group Inc,Consumer Discretionary,Specialty Retail
DXYN,Dixie Group Inc,Consumer Discretionary,Household Durables
EAT,"Brinker International, Inc.",Consumer Discretionary,"Hotels, Restaurants & Leisure"
EATR,Eastern Asteria Inc,Consumer Discretionary,Specialty Retail
EBAY,eBay Inc,Consumer Discretionary,Broadline Retail
EBET,Ebet Inc,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ECMH,Encompass Holdings Inc,Consumer Discretionary,Leisure Products
ECX,Ecarx Holdings Inc.,Consumer Discretionary,Automobile Components
EDMCQ,Education Management Corp,Consumer Discretionary,Diversified Consumer Services
EDSFF,Exceed Company Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
EDTK,Skillful Craftsman Education Tchnlgy Ltd,Consumer Discretionary,Diversified Consumer Services
EDU,New Oriental Education & Tech Grp (ADR),Consumer Discretionary,Diversified Consumer Services
EDUC,Educational Development Corp,Consumer Discretionary,Distributors
EEIQ,EpicQuest Education Group Internatnl Ltd,Consumer Discretionary,Diversified Consumer Services
EGKLF,ELRINGKLINGER AG,Consumer Discretionary,Automobile Components
