Symbol,CompanyName,Sector,Industry
CETX,Cemtrex Inc,Information Technology,"Electronic Equipment, Instruments & Components"
CEVA,"CEVA, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
CFLT,Confluent Inc,Information Technology,Software
CGEMY,Capgemini SE (ADR),Information Technology,IT Services
CGLO,Coro Global Inc,Information Technology,Software
CGNT,Cognyte Software Ltd,Information Technology,Software
CGNX,Cognex Corporation,Information Technology,"Electronic Equipment, Instruments & Components"
CGUD,COM GUARD.COM INC,Information Technology,Software
CHKP,Check Point Software Technologies Ltd.,Information Technology,Software
CICN,Cicero Inc,Information Technology,Software
CIEN,Ciena Corporation,Information Technology,Communications Equipment
CIFR,Cipher Mining Inc,Information Technology,Software
CINT,Ci&T Inc,Information Technology,IT Services
CISO,CISO Global Inc,Information Technology,IT Services
CLBT,Cellebrite DI Ltd,Information Technology,Software
CLFD,Clearfield Inc,Information Technology,Communications Equipment
CLIR,Clearsign Technologies Corp,Information Technology,"Electronic Equipment, Instruments & Components"
CLIS,Clickstream Corp,Information Technology,Software
CLMB,Climb Global Solutions Inc,Information Technology,"Electronic Equipment, Instruments & Components"
CLOQ,Cyberloq Technologies Inc,Information Technology,Software
CLPE,CLEAR PEAK ENERGY INC,Information Technology,"Technology Hardware, Storage & Peripherals"
CLPS,CLPS Inc,Information Technology,IT Services
CLRI,Cleartronic Inc,Information Technology,Communications Equipment
CLRO,Clearone Inc,Information Technology,Communications Equipment
CLRYF,CLAROCITY CORP,Information Technology,Software
CLS,Celestica Inc,Information Technology,"Electronic Equipment, Instruments & Components"
CLSK,CleanSpark Inc,Information Technology,Software
CMBM,Cambium Networks Corp,Information Technology,Communications Equipment
CMCM,Cheetah Mobile Inc (ADR),Information Technology,Software
CMDXF,COMPUTER MODELLING GROUP LTD,Information Technology,Software
CMFV,Comf5 International Inc,Information Technology,IT Services
CMPO,CompoSecure Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
CMTL,Comtech Telecommunications Corp,Information Technology,Communications Equipment
CNSWF,CONSTELLATION SOFTWARE INC,Information Technology,Software
CNTFY,China Techfaith Wireless Com Tech Ltd,Information Technology,"Technology Hardware, Storage & Peripherals"
CNWT,"Cistera Networks, Inc.",Information Technology,Software
CNXN,"PC Connection, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
COCM,COMERTON CORP,Information Technology,IT Services
CODA,"Coda Octopus Group, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
COHR,Coherent Corp,Information Technology,"Electronic Equipment, Instruments & Components"
COHU,"Cohu, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
COMM,Commscope Holding Company Inc,Information Technology,Communications Equipment
COMS,COMSovereign Holding Corp,Information Technology,Communications Equipment
CONC,Conectisys Corp.,Information Technology,"Electronic Equipment, Instruments & Components"
CORZQ,Core Scientific Inc,Information Technology,IT Services
COWI,CarbonMeta Technologies Inc,Information Technology,IT Services
CPLFF,COPPERLEAF TECHNOLOGIES INC,Information Technology,Software
CPROF,Cortelco Systems Puerto Rico Inc,Information Technology,"Electronic Equipment, Instruments & Components"
CPSH,CPS Technologies Corporation,Information Technology,"Electronic Equipment, Instruments & Components"
CPTN,Cepton Inc,Information Technology,"Electronic Equipment, Instruments & Components"
CRAWA,Crawford United Corp,Information Technology,"Electronic Equipment, Instruments & Components"
CRCW,Crypto Co,Information Technology,IT Services
CRDO,Credo Technology Group Holding Ltd,Information Technology,Semiconductors & Semiconductor Equipment
CREAF,CREATIVE TECHNOLOGY LTD,Information Technology,"Technology Hardware, Storage & Peripherals"
CRKR,Prairie Operating Co,Information Technology,Software
CRKT,CIRMAKER TECHNOLOGY CORP,Information Technology,"Electronic Equipment, Instruments & Components"
CRLI,"Circuit Research Labs, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
CRM,Salesforce Inc,Information Technology,Software
CRNC,Cerence Inc,Information Technology,Software
CRNT,Ceragon Networks Ltd,Information Technology,Communications Equipment
CRSR,Corsair Gaming Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
CRSSD,Crossroads Impact Corp,Information Technology,"Technology Hardware, Storage & Peripherals"
CRUS,"Cirrus Logic, Inc.",Information Technology,Semiconductors & Semiconductor Equipment
CRWD,Crowdstrike Holdings Inc,Information Technology,Software
CSCO,Cisco Systems Inc,Information Technology,Communications Equipment
CSIQ,Canadian Solar Inc,Information Technology,Semiconductors & Semiconductor Equipment
CSPI,CSP Inc.,Information Technology,IT Services
CSTXF,CRYPTOSTAR CORP,Information Technology,IT Services
CTG,"Computer Task Group, Inc.",Information Technology,IT Services
CTKYY,CooTek (Cayman) Inc,Information Technology,Software
CTM,Castellum Inc,Information Technology,IT Services
CTS,CTS Corporation,Information Technology,"Electronic Equipment, Instruments & Components"
CTSDF,CONVERGE TECH SOLUTIONS CORP,Information Technology,IT Services
CTSH,Cognizant Technology Solutions Corp,Information Technology,IT Services
CTXV,CTX Virtual Technologies Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
CVAS,"Creative Vistas, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
CVAT,"Cavitation Technologies, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
CVLT,"CommVault Systems, Inc.",Information Technology,Software
CVOSF,COVEO SOLUTIONS INC,Information Technology,Software
CVV,CVD Equipment Corporation,Information Technology,Semiconductors & Semiconductor Equipment
CWAN,Clearwater Analytics Holdings Inc,Information Technology,Software
CXAI,CXApp Inc,Information Technology,Software
CXCQ,CARDXX INC,Information Technology,"Technology Hardware, Storage & Peripherals"
CXDO,Crexendo Inc,Information Technology,IT Services
CXM,Sprinklr Inc,Information Technology,Software
CXT,Crane NXT Co,Information Technology,"Electronic Equipment, Instruments & Components"
CYAP,Cyber Apps World Inc,Information Technology,Software
CYBD,"Cyber Digital, Inc.",Information Technology,Communications Equipment
CYBF,Cyberfort Software Inc,Information Technology,Software
CYBR,Cyberark Software Ltd,Information Technology,Software
CYCA,Cytta Corp,Information Technology,"Electronic Equipment, Instruments & Components"
CYN,Cypress Semiconductor Corporation,Information Technology,Software
CYRNQ,Cyren Ltd,Information Technology,Software
CYSNF,C-COM SATELLITE SYSTEMS INC,Information Technology,Communications Equipment
CYXTQ,Cyxtera Technologies Inc,Information Technology,IT Services
DAIO,Data I/O Corporation,Information Technology,"Electronic Equipment, Instruments & Components"
DAKT,Daktronics Inc,Information Technology,"Electronic Equipment, Instruments & Components"
DASTY,Dassault Systemes SE (ADR),Information Technology,Software
DATS,DatChat Inc,Information Technology,Software
DAVA,Endava PLC - ADR,Information Technology,IT Services
DAVE,Dave Inc,Information Technology,Software
DBD,Diebold Nixdorf Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
DBX,Dropbox Inc,Information Technology,Software
DCBO,DOCEBO INC,Information Technology,Software
DDOG,Datadog Inc,Information Technology,Software
DELL,Dell Technologies Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
DFTC,Defentect Group Inc,Information Technology,Software
DGHI,DIGIHOST TECHNOLOGY INC,Information Technology,Software
DGII,Digi International Inc,Information Technology,Communications Equipment
DGLY,Digital Ally Inc,Information Technology,"Electronic Equipment, Instruments & Components"
DGNG,Diguang International Development Co Ltd,Information Technology,"Electronic Equipment, Instruments & Components"
DIOD,Diodes Inc,Information Technology,Semiconductors & Semiconductor Equipment
DLAD,"DealerAdvance, Inc.",Information Technology,Software
DLB,Dolby Laboratories Inc,Information Technology,Software
DLEXY,Datalex plc (ADR),Information Technology,Software
DLGI,"DataLogic International, Inc.",Information Technology,IT Services
DMGGF,DMG BLOCKCHAIN SOLUTIONS INC,Information Technology,Software
DMRC,Digimarc Corp,Information Technology,Software
DOCN,DigitalOcean Holdings Inc,Information Technology,IT Services
DOCU,Docusign Inc,Information Technology,Software
DOMO,Domo Inc,Information Technology,Software
DOX,Amdocs Limited,Information Technology,IT Services
DPLS,Darkpulse Inc,Information Technology,"Electronic Equipment, Instruments & Components"
DPSI,DecisionPoint Systems Inc,Information Technology,IT Services
DPSM,3D Pioneer Systems Inc,Information Technology,Software
DQ,Daqo New Energy Corp (ADR),Information Technology,Semiconductors & Semiconductor Equipment
DRKOF,MARTELLO TECHNOLGS GRP INC,Information Technology,IT Services
DSGT,DSG Global Inc,Information Technology,Communications Equipment
DSGX,Descartes Systems Group Inc (USA),Information Technology,Software
DSP,Viant Technology Inc,Information Technology,Software
DSWL,"Deswell Industries, Inc.",Information Technology,"Electronic Equipment, Instruments & Components"
DT,Dynatrace Inc,Information Technology,Software
DTII,Defense Technologies International Corp,Information Technology,"Electronic Equipment, Instruments & Components"
DTMXF,DATAMETREX AI LTD,Information Technology,IT Services
DTSRF,ETHEREUM CAPITAL CORP,Information Technology,Software
DTSS,Datasea Inc,Information Technology,Software
DTST,Data Storage Corp,Information Technology,IT Services
DTTLY,DATATEC LTD,Information Technology,"Electronic Equipment, Instruments & Components"
DUOT,Duos Technologies Group Inc,Information Technology,Software
DV,DoubleVerify Holdings Inc,Information Technology,Software
DXC,DXC Technology Co,Information Technology,IT Services
DYNDF,DYE & DURHAM LTD,Information Technology,Software
DYSL,Dynasil Corporation of America,Information Technology,"Electronic Equipment, Instruments & Components"
DZSI,DZS Inc,Information Technology,Communications Equipment
EACO,EACO Corp,Information Technology,"Electronic Equipment, Instruments & Components"
EAXR,Ealixir Inc,Information Technology,IT Services
EBIX,Ebix Inc,Information Technology,Software
EBON,Ebang International Holdings Inc,Information Technology,"Technology Hardware, Storage & Peripherals"
EBZT,Everything Blockchain Inc,Information Technology,IT Services
EGAN,eGain Corp,Information Technology,Software
EGHSF,ENGHOUSE SYSTEMS LTD,Information Technology,Software
EGHT,8x8 Inc,Information Technology,Software
EGIL,EDGETECH INTERNATIONAL,Information Technology,"Electronic Equipment, Instruments & Components"
EGIO,Edgio Inc,Information Technology,IT Services
EKCS,Electronic Control Security Inc,Information Technology,"Electronic Equipment, Instruments & Components"
ELCO,Elcom International Inc,Information Technology,Software
ELSE,Electro-Sensors Inc,Information Technology,"Electronic Equipment, Instruments & Components"
ELST,Electronic Systems Technology Inc,Information Technology,Communications Equipment
ELTK,Eltek Ltd,Information Technology,"Electronic Equipment, Instruments & Components"
EMAN,eMagin Corp,Information Technology,Semiconductors & Semiconductor Equipment
EMCMF,EMERGE COMMERCE LTD,Information Technology,IT Services
EMKR,EMCORE Corp,Information Technology,Communications Equipment
ENAFF,ENABLENCE TECHNOLOGIES INC,Information Technology,Communications Equipment
ENFN,Enfusion Inc,Information Technology,Software
ENHT,enherent Corp,Information Technology,IT Services
ENMPY,Ensurge Micropower ASA - ADR,Information Technology,"Technology Hardware, Storage & Peripherals"
ENPH,Enphase Energy Inc,Information Technology,Semiconductors & Semiconductor Equipment
ENTG,Entegris Inc,Information Technology,Semiconductors & Semiconductor Equipment
ENV,Envestnet Inc,Information Technology,Software
